genus	ADULT_GLIOMA	all_cancers	BLADDER	BREAST	CARCINOMA_OF_UNKNOWN_PRIMARY	CHILDHOOD	COLORECTAL	ENDOCRINE	ENDOMETRIAL_CARCINOMA	HAEMONC	HEPATOPANCREATOBILIARY	LUNG	MALIGNANT_MELANOMA	NASOPHARYNGEAL	ORAL_OROPHARYNGEAL	OTHER	OVARIAN	PROSTATE	RENAL	SARCOMA	SINONASAL	TESTICULAR_GERM_CELL_TUMOURS	UPPER_GASTROINTESTINAL
Finegoldia	NA	NA	17	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA
Campylobacter	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	15	NA	10	2	96	NA	NA	NA	NA	NA	NA	NA	54
Porphyromonas	NA	NA	14	NA	NA	3	NA	NA	25	NA	NA	NA	NA	NA	87	NA	NA	NA	NA	29	NA	NA	NA
Aerococcus	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chlamydia	NA	NA	NA	88	NA	NA	NA	NA	20	NA	NA	38	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA
Plasmodium	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cloacibacterium	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	35	28	162	NA	NA	NA
Roseburia	NA	NA	NA	NA	12	NA	1465	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA
Bilophila	NA	NA	NA	NA	11	NA	1367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rudaea	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcaligenes	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gemella	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	78
Neisseria	NA	NA	NA	NA	NA	3	NA	NA	NA	10	NA	NA	NA	NA	97	NA	NA	NA	NA	NA	3	NA	76
Ruminococcus	NA	NA	NA	NA	NA	NA	1459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hungatella	NA	NA	NA	NA	NA	NA	1401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oscillibacter	NA	NA	NA	NA	NA	NA	1337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Barnesiella	NA	NA	NA	NA	NA	NA	1325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcanivorax	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Calothrix	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Castellaniella	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chitinophaga	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactococcus	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leuconostoc	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pantoea	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudohongiella	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Thioalkalivibrio	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA
Ab18virus	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acanthamoeba	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetanaerobacterium	NA	NA	NA	NA	NA	NA	NA	0	NA	25	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetitomaculum	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetivibrio	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
Acetoanaerobium	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
